timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1707485763929,522,1 - GET - Google,200,OK,Thread Group 1-1,text,true,,20088,120,1,1,https://www.google.com.br/,504,ISO-8859-1,1,0,51c41803c650,0,364
1707485764467,281,2 - GET - UOL,200,OK,Thread Group 1-1,text,true,,821810,117,1,1,https://www.uol.com.br/,162,UTF-8,1,0,51c41803c650,0,128
1707485764750,243,3 - GET - Terra,200,OK,Thread Group 1-1,text,true,,446908,119,1,1,https://www.terra.com.br/,175,utf-8,1,0,51c41803c650,0,135
1707485764995,320,4 - GET - g1,200,OK,Thread Group 1-1,text,true,,1028980,115,1,1,https://g1.globo.com/,153,UTF-8,1,0,51c41803c650,0,129
1707485765319,779,5 - GET - sbt,200,OK,Thread Group 1-1,text,true,,5474,117,1,1,https://www.sbt.com.br/,779,ISO-8859-1,1,0,51c41803c650,0,489
1707485766101,659,6 - GET - bing,200,OK,Thread Group 1-1,text,true,,122579,239,1,1,https://www.bing.com/?cc=br,179,utf-8,1,0,51c41803c650,0,154
1707485766765,740,7 - GET - linkedin,200,OK,Thread Group 1-1,text,true,,133962,119,1,1,https://www.linkedin.com/,404,utf-8,1,0,51c41803c650,0,160
1707485767509,171,8 - GET - duckduckgo,200,OK,Thread Group 1-1,text,true,,107794,117,1,1,https://duckduckgo.com/,128,UTF-8,1,0,51c41803c650,0,86
1707485775209,2247,9 - GET - erro,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,Thread Group 1-1,text,false,,3124,0,1,1,https://www.erro.com.br/,0,ISO-8859-1,1,1,51c41803c650,0,2247
1707485777460,123,1 - GET - Google,200,OK,Thread Group 1-1,text,true,,20072,120,1,1,https://www.google.com.br/,122,ISO-8859-1,1,0,51c41803c650,0,0
1707485777584,81,2 - GET - UOL,200,OK,Thread Group 1-1,text,true,,822012,117,1,1,https://www.uol.com.br/,30,UTF-8,1,0,51c41803c650,0,0
1707485777668,65,3 - GET - Terra,200,OK,Thread Group 1-1,text,true,,446968,119,1,1,https://www.terra.com.br/,34,utf-8,1,0,51c41803c650,0,0
1707485777734,95,4 - GET - g1,200,OK,Thread Group 1-1,text,true,,1028980,115,1,1,https://g1.globo.com/,28,UTF-8,1,0,51c41803c650,0,0
1707485777830,269,5 - GET - sbt,200,OK,Thread Group 1-1,text,true,,5368,117,1,1,https://www.sbt.com.br/,269,ISO-8859-1,1,0,51c41803c650,0,0
1707485778102,282,6 - GET - bing,200,OK,Thread Group 1-1,text,true,,121600,239,1,1,https://www.bing.com/?cc=br,21,utf-8,1,0,51c41803c650,0,0
1707485778807,246,1 - GET - Google,200,OK,Thread Group 1-2,text,true,,20066,120,2,2,https://www.google.com.br/,231,ISO-8859-1,1,0,51c41803c650,0,117
1707485778387,798,7 - GET - linkedin,200,OK,Thread Group 1-1,text,true,,133962,119,2,2,https://www.linkedin.com/,316,utf-8,1,0,51c41803c650,0,0
1707485779188,125,8 - GET - duckduckgo,200,OK,Thread Group 1-1,text,true,,107794,117,2,2,https://duckduckgo.com/,48,UTF-8,1,0,51c41803c650,0,0
1707485779058,272,2 - GET - UOL,200,OK,Thread Group 1-2,text,true,,822012,117,2,2,https://www.uol.com.br/,126,UTF-8,1,0,51c41803c650,0,95
1707485779332,151,3 - GET - Terra,200,OK,Thread Group 1-2,text,true,,446824,119,2,2,https://www.terra.com.br/,89,utf-8,1,0,51c41803c650,0,58
1707485779484,220,4 - GET - g1,200,OK,Thread Group 1-2,text,true,,1028961,115,2,2,https://g1.globo.com/,81,UTF-8,1,0,51c41803c650,0,56
1707485779706,706,5 - GET - sbt,200,OK,Thread Group 1-2,text,true,,5474,117,2,2,https://www.sbt.com.br/,706,ISO-8859-1,1,0,51c41803c650,0,428
1707485780414,395,6 - GET - bing,200,OK,Thread Group 1-2,text,true,,121723,239,2,2,https://www.bing.com/?cc=br,119,utf-8,1,0,51c41803c650,0,97
1707485780812,1844,7 - GET - linkedin,200,OK,Thread Group 1-2,text,true,,133962,119,2,2,https://www.linkedin.com/,399,utf-8,1,0,51c41803c650,0,86
1707485782660,156,8 - GET - duckduckgo,200,OK,Thread Group 1-2,text,true,,107794,117,2,2,https://duckduckgo.com/,112,UTF-8,1,0,51c41803c650,0,67
1707485788493,2159,9 - GET - erro,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,Thread Group 1-1,text,false,,3124,0,2,2,https://www.erro.com.br/,0,ISO-8859-1,1,1,51c41803c650,0,2158
1707485790654,132,1 - GET - Google,200,OK,Thread Group 1-1,text,true,,20111,120,2,2,https://www.google.com.br/,131,ISO-8859-1,1,0,51c41803c650,0,0
1707485790788,66,2 - GET - UOL,200,OK,Thread Group 1-1,text,true,,821813,117,2,2,https://www.uol.com.br/,22,UTF-8,1,0,51c41803c650,0,0
