timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1704907772093,370,2 - GET - UOL,200,OK,Thread Group 1-1,text,true,,769499,117,2,2,https://www.uol.com.br/,276,UTF-8,1,0,44c341ad58e7,0,245
1704907775369,540,7 - GET - erro,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-2,text,false,,2805,0,3,3,https://www.r7.com.br/,0,ISO-8859-1,1,1,44c341ad58e7,0,540
1704907777471,297,1 - GET - Google,200,OK,Thread Group 1-1,text,true,,21286,120,3,3,https://www.google.com.br/,286,ISO-8859-1,1,0,44c341ad58e7,0,161
1704907778700,155,5 - GET - sbt,200,OK,Thread Group 1-3,text,true,,5387,117,3,3,https://www.sbt.com.br/,154,ISO-8859-1,1,0,44c341ad58e7,0,96
1704907780915,238,4 - GET - g1,200,OK,Thread Group 1-2,text,true,,984171,115,3,3,https://g1.globo.com/,99,UTF-8,1,0,44c341ad58e7,0,74
1704907782772,103,5 - GET - sbt,200,OK,Thread Group 1-1,text,true,,5393,117,3,3,https://www.sbt.com.br/,103,ISO-8859-1,1,0,44c341ad58e7,0,59
1704907783860,255,1 - GET - Google,200,OK,Thread Group 1-3,text,true,,21276,120,3,3,https://www.google.com.br/,240,ISO-8859-1,1,0,44c341ad58e7,0,110
1704907786156,101,5 - GET - sbt,200,OK,Thread Group 1-2,text,true,,5387,117,3,3,https://www.sbt.com.br/,101,ISO-8859-1,1,0,44c341ad58e7,0,60
1704907787876,254,3 - GET - Terra,200,OK,Thread Group 1-1,text,true,,398918,119,3,3,https://www.terra.com.br/,204,utf-8,1,0,44c341ad58e7,0,159
1704907789116,218,2 - GET - UOL,200,OK,Thread Group 1-3,text,true,,767548,117,3,3,https://www.uol.com.br/,94,UTF-8,1,0,44c341ad58e7,0,69
1704907791258,158,3 - GET - Terra,200,OK,Thread Group 1-2,text,true,,398906,119,3,3,https://www.terra.com.br/,106,utf-8,1,0,44c341ad58e7,0,67
1704907793131,340,7 - GET - erro,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-1,text,false,,2805,0,3,3,https://www.r7.com.br/,0,ISO-8859-1,1,1,44c341ad58e7,0,340
1704907794336,382,7 - GET - erro,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-3,text,false,,2805,0,3,3,https://www.r7.com.br/,0,ISO-8859-1,1,1,44c341ad58e7,0,382
1704907796419,197,2 - GET - UOL,200,OK,Thread Group 1-2,text,true,,767548,117,3,3,https://www.uol.com.br/,88,UTF-8,1,0,44c341ad58e7,0,59
1704907798476,276,4 - GET - g1,200,OK,Thread Group 1-1,text,true,,984169,115,3,3,https://g1.globo.com/,87,UTF-8,1,0,44c341ad58e7,0,58
1704907799724,475,3 - GET - Terra,200,OK,Thread Group 1-3,text,true,,398918,119,3,3,https://www.terra.com.br/,404,utf-8,1,0,44c341ad58e7,0,369
1704907801619,343,1 - GET - Google,200,OK,Thread Group 1-2,text,true,,20009,120,3,3,https://www.google.com.br/,325,ISO-8859-1,1,0,44c341ad58e7,0,109
1704907803753,117,4 - GET - g1,200,OK,Thread Group 1-1,text,true,,984169,115,3,3,https://g1.globo.com/,26,UTF-8,1,0,44c341ad58e7,0,0
1704907805202,255,4 - GET - g1,200,OK,Thread Group 1-3,text,true,,984207,115,3,3,https://g1.globo.com/,90,UTF-8,1,0,44c341ad58e7,0,62
1704907806962,44,5 - GET - sbt,200,OK,Thread Group 1-2,text,true,,5394,117,3,3,https://www.sbt.com.br/,42,ISO-8859-1,1,0,44c341ad58e7,0,0
1704907808871,53,5 - GET - sbt,200,OK,Thread Group 1-1,text,true,,5394,117,3,3,https://www.sbt.com.br/,52,ISO-8859-1,1,0,44c341ad58e7,0,0
1704907810457,90,2 - GET - UOL,200,OK,Thread Group 1-3,text,true,,767815,117,3,3,https://www.uol.com.br/,28,UTF-8,1,0,44c341ad58e7,0,0
1704907812008,61,3 - GET - Terra,200,OK,Thread Group 1-2,text,true,,399026,119,3,3,https://www.terra.com.br/,34,utf-8,1,0,44c341ad58e7,0,0
1704907813926,154,1 - GET - Google,200,OK,Thread Group 1-1,text,true,,21327,120,3,3,https://www.google.com.br/,149,ISO-8859-1,1,0,44c341ad58e7,0,0
1704907815549,347,7 - GET - erro,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-3,text,false,,2805,0,3,3,https://www.r7.com.br/,0,ISO-8859-1,1,1,44c341ad58e7,0,347
1704907817069,94,4 - GET - g1,200,OK,Thread Group 1-2,text,true,,984211,115,3,3,https://g1.globo.com/,24,UTF-8,1,0,44c341ad58e7,0,0
1704907819080,337,7 - GET - erro,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-1,text,false,,2805,0,3,3,https://www.r7.com.br/,0,ISO-8859-1,1,1,44c341ad58e7,0,337
1704907820897,45,5 - GET - sbt,200,OK,Thread Group 1-3,text,true,,5392,117,3,3,https://www.sbt.com.br/,40,ISO-8859-1,1,0,44c341ad58e7,0,0
