timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1705407397658,1505,4 - GET - g1,200,OK,Thread Group 1-1,text,true,,1002708,115,2,2,https://g1.globo.com/,1320,UTF-8,1,0,9bb5f4f334f8,0,1288
1705407400921,417,7 - GET - erro,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-2,text,false,,2805,0,3,3,https://www.r7.com.br/,0,ISO-8859-1,1,1,9bb5f4f334f8,0,417
1705407404167,303,2 - GET - UOL,200,OK,Thread Group 1-1,text,true,,814326,117,3,3,https://www.uol.com.br/,174,UTF-8,1,0,9bb5f4f334f8,0,145
1705407404251,224,2 - GET - UOL,200,OK,Thread Group 1-3,text,true,,814326,117,3,3,https://www.uol.com.br/,97,UTF-8,1,0,9bb5f4f334f8,0,64
1705407406343,235,3 - GET - Terra,200,OK,Thread Group 1-2,text,true,,372939,119,3,3,https://www.terra.com.br/,189,utf-8,1,0,9bb5f4f334f8,0,145
1705407409477,237,4 - GET - g1,200,OK,Thread Group 1-3,text,true,,1002690,115,3,3,https://g1.globo.com/,95,UTF-8,1,0,9bb5f4f334f8,0,72
1705407409475,335,7 - GET - erro,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-1,text,false,,2805,0,3,3,https://www.r7.com.br/,0,ISO-8859-1,1,1,9bb5f4f334f8,0,335
1705407411580,288,1 - GET - Google,200,OK,Thread Group 1-2,text,true,,20003,120,3,3,https://www.google.com.br/,267,ISO-8859-1,1,0,9bb5f4f334f8,0,135
1705407414718,133,5 - GET - sbt,200,OK,Thread Group 1-3,text,true,,5394,117,3,3,https://www.sbt.com.br/,133,ISO-8859-1,1,0,9bb5f4f334f8,0,94
1705407414813,135,3 - GET - Terra,200,OK,Thread Group 1-1,text,true,,372939,119,3,3,https://www.terra.com.br/,87,utf-8,1,0,9bb5f4f334f8,0,51
1705407416872,101,5 - GET - sbt,200,OK,Thread Group 1-2,text,true,,5399,117,3,3,https://www.sbt.com.br/,101,ISO-8859-1,1,0,9bb5f4f334f8,0,59
1705407419951,105,5 - GET - sbt,200,OK,Thread Group 1-1,text,true,,5387,117,3,3,https://www.sbt.com.br/,105,ISO-8859-1,1,0,9bb5f4f334f8,0,58
1705407419854,332,7 - GET - erro,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-3,text,false,,2805,0,3,3,https://www.r7.com.br/,0,ISO-8859-1,1,1,9bb5f4f334f8,0,332
1705407421976,244,4 - GET - g1,200,OK,Thread Group 1-2,text,true,,1002690,115,3,3,https://g1.globo.com/,97,UTF-8,1,0,9bb5f4f334f8,0,69
