timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1708438501973,455,1 - GET - Google,200,OK,Thread Group 1-1,text,true,,20162,120,1,1,https://www.google.com.br/,442,ISO-8859-1,1,0,7420df04852a,0,310
1708438502447,807,2 - GET - UOL,200,OK,Thread Group 1-1,text,true,,834800,117,1,1,https://www.uol.com.br/,564,UTF-8,1,0,7420df04852a,0,529
1708438503269,606,3 - GET - Terra,200,OK,Thread Group 1-1,text,true,,385496,119,1,1,https://www.terra.com.br/,551,utf-8,1,0,7420df04852a,0,510
1708438503878,300,4 - GET - g1,200,OK,Thread Group 1-1,text,true,,976744,115,1,1,https://g1.globo.com/,173,UTF-8,1,0,7420df04852a,0,147
1708438504180,759,5 - GET - sbt,200,OK,Thread Group 1-1,text,true,,5613,117,1,1,https://www.sbt.com.br/,758,ISO-8859-1,1,0,7420df04852a,0,463
1708438504940,558,6 - GET - bing,200,OK,Thread Group 1-1,text,true,,125108,239,1,1,https://www.bing.com/?cc=br,145,utf-8,1,0,7420df04852a,0,119
1708438505501,1212,7 - GET - linkedin,200,OK,Thread Group 1-1,text,true,,134053,119,1,1,https://www.linkedin.com/,733,utf-8,1,0,7420df04852a,0,346
1708438506716,148,8 - GET - duckduckgo,200,OK,Thread Group 1-1,text,true,,108465,117,1,1,https://duckduckgo.com/,106,UTF-8,1,0,7420df04852a,0,66
1708438512773,2128,9 - GET - erro,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,Thread Group 1-1,text,false,,3124,0,1,1,https://www.erro.com.br/,0,ISO-8859-1,1,1,7420df04852a,0,2128
1708438514904,126,1 - GET - Google,200,OK,Thread Group 1-1,text,true,,20100,120,1,1,https://www.google.com.br/,121,ISO-8859-1,1,0,7420df04852a,0,0
1708438515033,84,2 - GET - UOL,200,OK,Thread Group 1-1,text,true,,836287,117,1,1,https://www.uol.com.br/,37,UTF-8,1,0,7420df04852a,0,0
1708438515120,68,3 - GET - Terra,200,OK,Thread Group 1-1,text,true,,385580,119,1,1,https://www.terra.com.br/,42,utf-8,1,0,7420df04852a,0,0
1708438515188,104,4 - GET - g1,200,OK,Thread Group 1-1,text,true,,976745,115,1,1,https://g1.globo.com/,25,UTF-8,1,0,7420df04852a,0,0
1708438515294,284,5 - GET - sbt,200,OK,Thread Group 1-1,text,true,,5502,117,1,1,https://www.sbt.com.br/,283,ISO-8859-1,1,0,7420df04852a,0,0
1708438515581,353,6 - GET - bing,200,OK,Thread Group 1-1,text,true,,124231,239,1,1,https://www.bing.com/?cc=br,22,utf-8,1,0,7420df04852a,0,0
1708438515938,882,7 - GET - linkedin,200,OK,Thread Group 1-1,text,true,,134053,119,1,1,https://www.linkedin.com/,406,utf-8,1,0,7420df04852a,0,0
1708438516820,85,8 - GET - duckduckgo,200,OK,Thread Group 1-1,text,true,,108465,117,2,2,https://duckduckgo.com/,46,UTF-8,1,0,7420df04852a,0,0
1708438516888,251,1 - GET - Google,200,OK,Thread Group 1-2,text,true,,20070,120,2,2,https://www.google.com.br/,236,ISO-8859-1,1,0,7420df04852a,0,103
1708438517143,246,2 - GET - UOL,200,OK,Thread Group 1-2,text,true,,836287,117,2,2,https://www.uol.com.br/,105,UTF-8,1,0,7420df04852a,0,74
1708438517392,177,3 - GET - Terra,200,OK,Thread Group 1-2,text,true,,385496,119,2,2,https://www.terra.com.br/,124,utf-8,1,0,7420df04852a,0,76
1708438517570,219,4 - GET - g1,200,OK,Thread Group 1-2,text,true,,976413,115,2,2,https://g1.globo.com/,81,UTF-8,1,0,7420df04852a,0,56
1708438517793,721,5 - GET - sbt,200,OK,Thread Group 1-2,text,true,,5608,117,2,2,https://www.sbt.com.br/,721,ISO-8859-1,1,0,7420df04852a,0,428
1708438518516,444,6 - GET - bing,200,OK,Thread Group 1-2,text,true,,125154,239,2,2,https://www.bing.com/?cc=br,146,utf-8,1,0,7420df04852a,0,121
1708438518964,1113,7 - GET - linkedin,200,OK,Thread Group 1-2,text,true,,134053,119,2,2,https://www.linkedin.com/,635,utf-8,1,0,7420df04852a,0,82
1708438520080,148,8 - GET - duckduckgo,200,OK,Thread Group 1-2,text,true,,108465,117,2,2,https://duckduckgo.com/,102,UTF-8,1,0,7420df04852a,0,60
1708438523074,2130,9 - GET - erro,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,Thread Group 1-1,text,false,,3124,0,2,2,https://www.erro.com.br/,0,ISO-8859-1,1,1,7420df04852a,0,2130
1708438525206,170,1 - GET - Google,200,OK,Thread Group 1-1,text,true,,20061,120,2,2,https://www.google.com.br/,168,ISO-8859-1,1,0,7420df04852a,0,0
1708438525378,81,2 - GET - UOL,200,OK,Thread Group 1-1,text,true,,834622,117,2,2,https://www.uol.com.br/,33,UTF-8,1,0,7420df04852a,0,0
1708438525461,63,3 - GET - Terra,200,OK,Thread Group 1-1,text,true,,385576,119,2,2,https://www.terra.com.br/,36,utf-8,1,0,7420df04852a,0,0
1708438525525,83,4 - GET - g1,200,OK,Thread Group 1-1,text,true,,976410,115,2,2,https://g1.globo.com/,20,UTF-8,1,0,7420df04852a,0,0
1708438525611,288,5 - GET - sbt,200,OK,Thread Group 1-1,text,true,,5502,117,2,2,https://www.sbt.com.br/,288,ISO-8859-1,1,0,7420df04852a,0,0
1708438525901,221,6 - GET - bing,200,OK,Thread Group 1-1,text,true,,125215,239,2,2,https://www.bing.com/?cc=br,25,utf-8,1,0,7420df04852a,0,0
1708438526124,912,7 - GET - linkedin,200,OK,Thread Group 1-1,text,true,,134022,119,2,2,https://www.linkedin.com/,338,utf-8,1,0,7420df04852a,0,0
1708438527039,85,8 - GET - duckduckgo,200,OK,Thread Group 1-1,text,true,,108465,117,2,2,https://duckduckgo.com/,45,UTF-8,1,0,7420df04852a,0,0
1708438528539,2130,9 - GET - erro,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,Thread Group 1-2,text,false,,3124,0,2,2,https://www.erro.com.br/,0,ISO-8859-1,1,1,7420df04852a,0,2130
1708438530674,126,1 - GET - Google,200,OK,Thread Group 1-2,text,true,,20105,120,2,2,https://www.google.com.br/,124,ISO-8859-1,1,0,7420df04852a,0,0
1708438530802,88,2 - GET - UOL,200,OK,Thread Group 1-2,text,true,,834614,117,2,2,https://www.uol.com.br/,37,UTF-8,1,0,7420df04852a,0,0
